feature,ks_statistic,wasserstein_dist
f608,0.027619999999999978,0.09062397145032881
f98,0.027600000000000013,0.07656898314118385
f699,0.02750000000000008,0.07853821069836613
f169,0.027500000000000024,0.09230664208769795
f171,0.02748000000000006,0.08628625556826586
f129,0.027480000000000004,0.0786963347268105
f1004,0.02746000000000004,0.09605227539300921
f291,0.027440000000000075,0.07376186841487886
f22,0.02744000000000002,0.07330829981803895
f605,0.02743999999999991,0.08471932238698004
f707,0.02739999999999998,0.07410010921955107
f194,0.02739999999999998,0.09777312414288522
f464,0.02732000000000001,0.06851636576294898
f508,0.02730000000000002,0.08364378366351127
f260,0.02727999999999997,0.1123573683595657
f172,0.02727999999999997,0.05654923739433287
f695,0.027159999999999962,0.09077359583973883
f970,0.027139999999999997,0.082140397452116
f370,0.027039999999999953,0.0720935631144047
f429,0.02694000000000002,0.07521406413793566
f581,0.02689999999999998,0.09354076645970344
f480,0.026880000000000015,0.07671984759092332
f475,0.026880000000000015,0.09419482212066652
f767,0.026800000000000046,0.06860686643958092
f781,0.026800000000000046,0.07643802273511885
f976,0.026739999999999986,0.07278067167162894
f538,0.02667999999999998,0.08330120358467102
f346,0.026660000000000017,0.0896325073504448
f706,0.026639999999999997,0.08546394100785254
f833,0.026580000000000048,0.07976375458955764
f375,0.026579999999999993,0.06499823107004166
f476,0.026560000000000028,0.10597420153975486
f525,0.026560000000000028,0.07505308355927467
f754,0.026519999999999988,0.08228532224893566
f880,0.026480000000000004,0.08305730640649792
f672,0.026459999999999928,0.07777753410577773
f602,0.02644000000000002,0.07394601366758344
f339,0.02642,0.06353211058974265
f197,0.02642,0.08626372570753102
f831,0.02642,0.07919465046167373
f506,0.02636000000000005,0.09240174813508985
f400,0.02635999999999994,0.07878912710785868
f719,0.02635999999999994,0.07856040944099424
f1012,0.026339999999999975,0.060298273584842695
f477,0.02632000000000001,0.09725715887427329
f362,0.02622000000000002,0.06267382292509077
f379,0.0262,0.07486856136322023
f103,0.0262,0.06390023833274844
f874,0.02617999999999998,0.06218441968560218
f177,0.02617999999999998,0.06054543392658229
f856,0.02606,0.07928965900897976
f883,0.026039999999999952,0.0683614080250263
f528,0.025980000000000003,0.08215256064653388
f349,0.025980000000000003,0.07000455366730689
f335,0.025820000000000065,0.06725716907620433
f83,0.025720000000000076,0.07585125071167946
f585,0.025639999999999996,0.08838290699243549
f200,0.025619999999999976,0.06262332343101507
f546,0.025560000000000027,0.0841256121468544
f205,0.025540000000000007,0.071527733399868
f1020,0.025540000000000007,0.09053050720930096
f398,0.025520000000000098,0.06419006765246393
f887,0.025499999999999967,0.08499597281098364
f712,0.025460000000000038,0.07210409623861312
f282,0.025399999999999978,0.08392885125756264
f501,0.025399999999999978,0.07706117914676666
f388,0.0253000000000001,0.07081818452596665
f655,0.02525999999999995,0.06464773198127743
f760,0.025240000000000012,0.07013067334890369
f702,0.025219999999999992,0.06314708082437513
f442,0.025219999999999965,0.08609136898517607
f334,0.02517999999999998,0.08605958137154573
f910,0.02517999999999998,0.07561557576298711
f775,0.02512000000000003,0.07892197863817217
f731,0.02511999999999992,0.09473483187079429
f497,0.02507999999999999,0.07082410030841829
